  8403  1  3/07/8  3/11/8 broken symmetries                    1 preuss, paul                       
   907  1  3/16/8  3/19/8 bronwyn's bane                       2 scarborough, elizabeth             
  7102  1  3/13/8  3/14/8 bronwyn's bane                       5 scarborough, elizabeth ann         
  1690  1  3/13/8  3/16/8 bronze of eddarta, the               2 garrett & heydron                  
  8642  1  1/02/8  1/15/8 bronze of eddarta, the               3 garrett, r. & heydron              
  9229  1  2/14/8  2/19/8 bronze of eddarta, the               1 garrett, r. & heydron, v.          
  4677  1  3/14/8  3/15/8 burning mountain, the                2 coppel, alfred                     
   950  1  3/01/8  3/07/8 celestial steam locomotive, the      1 coney, michael                     
  5818  1  3/14/8  3/18/8 celestial steam locomotive, the      5 coney, michael                     
  4447  1  3/06/8  3/07/8 celestial steam locomotive, the      1 coney, michael                     
  4677  1  3/14/8  3/15/8 century of progress, a               4 saber, fred                        
  7397  1  3/16/8  3/19/8 channel's destiny                    5 lichtenberg & lorrah               
  8815  1  2/20/8  2/26/8 chekov's journey                     2 watson, ian                        
  9092  1  3/05/8  3/11/8 christine                            1 king, stephen                      
  8158  1  3/17/8  3/20/8 christine                            5 king, stephen                      
  4656  1  1/13/8  1/22/8 christine                            1 king, stephen                      
  8387  1  1/04/8  1/15/8 christine                            3 king, stephen                      
  2749  1  1/27/8  2/05/8 christine                            2 king, stephen                      
  5291  1  1/21/8  1/29/8 christine                            2 king                               
  3929  1  3/07/8  3/11/8 christine                            1 king, stephen                      
  3483  1  2/06/8  2/12/8 christine                            3 king, stephen                      
  3807  1  3/12/8  3/18/8 christine                            1 king, stephen                      
  9265  1  3/19/8  3/22/8 citadel of the autarch, the          5 wolfe                              
  1431  1  3/16/8  3/19/8 citadel of the autarch, the          1 wolfe, gene                        
  9546  1  3/17/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
  9961  1  3/16/8  3/20/8 citadel of the autarch, the          3 wolfe, gene                        
  8733  1  3/07/8  3/11/8 citadel of the autarch, the          2 wolfe, gene                        
  5231  1  2/22/8  2/26/8 citadel of the autarch, the          5 wolfe, gene                        
  6074  1  3/14/8  3/17/8 citadel of the autarch, the          2 wolfe, gene                        
  3173  1  3/11/8  3/15/8 citadel of the autarch, the          2 wolfe, gene                        
  8949  1  2/06/8  2/12/8 citadel of the autarch, the          1 wolfe, gene                        
   220  1  3/16/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
  7293  1  3/14/8  3/18/8 citadel of the autarch, the          5 wolfe, gene                        
  8724  1  3/09/8  3/12/8 citadel of the autarch, the          1 wolfe, g.                          
  2347  1  3/09/8  3/12/8 citadel of the autarch, the          1 wolfe, g.                          
  1612  1  2/09/8  2/19/8 citadel of the autarch, the          5 wolfe, gene                        
  5810  1  2/03/8  2/12/8 citadel of the autarch, the          4 wolfe, gene                        
  4020  1  3/17/8  3/20/8 citadel of the autarch, the          2 wolfe, gene                        
  2710  1  3/13/8  3/15/8 citadel of the autarch, the          4 wolfe, gene                        
  6441  1  3/16/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
    64  1  3/16/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
   185  1  3/05/8  3/11/8 citadel of the autarch, the          2 wolfe, gene                        
  2792  1  1/17/8  1/22/8 citadel of the autarch, the          5 wolfe                              
  8715  1  3/08/8  3/13/8 citadel of the autarch, the          4 wolfe, gene                        
  1322  1  3/16/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
  6242  1  2/22/8  2/26/8 citadel of the autarch, the          1 wolfe, gene                        
  9718  1  3/08/8  3/11/8 citadel of the autarch, the          2 wolfe, gene                        
  1136  1  3/12/8  3/13/8 citadel of the autarch, the          5 wolfe, gene                        
  2139  1  3/15/8  3/16/8 citadel of the autarch, the          2 wolfe, gene                        
   950  1  3/01/8  3/07/8 citadel of the autarch, the          3 wolfe, gene                        
  8559  1  3/17/8  3/19/8 citadel of the autarch, the          3 wolfe, gene                        
  6233  1  3/12/8  3/13/8 citadel of the autarch, the          4 wolfe, gene                        
  1862  1  3/16/8  3/19/8 citadel of the autarch, the          5 wolfe, gene                        
  3440  1  3/19/8  3/22/8 citadel of the autarch, the          5 wolfe, g.                          
  9497  1  3/12/8  3/13/8 citadel of the autarch, the          3 wolfe, gene                        
    59  1  3/01/8  3/07/8 citadel of the autarch, the          2 wolfe, gene                        
  9765  1  2/02/8  2/05/8 citadel of the autarch, the          3 wolfe, gene                        
  8014  1  3/09/8  3/11/8 citadel of the autarch, the          1 wolfe, gene                        
  6985  1  2/18/8  2/26/8 citadel of the autarch, the          1 wolfe, gene                        
  3029  1  2/27/8  3/04/8 citadel of the autarch, the          3 wolfe, gene                        
   556  1  3/12/8  3/15/8 citadel of the autarch, the          1 wolfe, gene                        
   102  1  1/09/8  1/15/8 citadel of the autarch, the          2 wolfe, gene                        
  9207  1  2/10/8  3/04/8 citadel of the autarch, the          1 wolfe, gene                        
  4101  1  3/14/8  3/15/8 citadel of the autarch, the          2 wolfe, gene                        
  2337  1  3/06/8  3/13/8 citadel of the autarch, the          1 wolfe, gene                        
  9142  1  3/17/8  3/19/8 citadel of the autarch, the          4 wolfe, gene                        
  2765  1  3/12/8  3/15/8 citadel of the autarch, the          1 wolfe, gene                        
  6388  1  3/12/8  3/15/8 citadel of the autarch, the          1 wolfe, gene                        
  4356  1  3/14/8  3/18/8 citadel of the autarch, the          3 wolfe, gene                        
  6094  1  3/17/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
  5078  1  3/17/8  3/20/8 citadel of the autarch, the          1 wolfe, gene                        
  5642  1  1/06/8  1/15/8 code of the lifemaker                2 hogan, james                       
   977  1  3/15/8  3/16/8 code of the lifemaker                3 hogan, james p.                    
  7397  1  3/16/8  3/19/8 code of the lifemaker                1 hogan, james                       
  8335  1  2/13/8  2/19/8 code of the lifemaker                1 hogan, james                       
   354  1  3/16/8  3/19/8 code of the lifemaker                2 hogan, james                       
  4807  1  3/16/8  3/19/8 code of the lifemaker                3 hogan, james                       
